id,user_id,username,role,action,details,timestamp
log-302e6201-dc87-4b1c-ac86-a43d672d9a07,u-admin,TPHL Management,Admin,Database CSV Backup,Downloaded a database state backup in CSV compound format.,2026-06-17T08:05:14.207Z
log-62aa1ef5-efa5-4824-95c7-6850a2337a1c,u-admin,TPHL Management,Admin,Database Restore,Successfully uploaded and restored database state snapshot files.,2026-06-17T08:04:54.422Z
log-deee47a9-2de2-4fee-b5c7-0d6fd1deb869,u-admin,TPHL Management,Admin,Database Backup,Downloaded a database state backup.,2026-06-16T11:25:14.516Z
log-09c59725-e692-4f5d-b7e3-9b9d37655e4d,u-admin,TPHL Management,Admin,Database Backup,Downloaded a database state backup.,2026-06-16T11:24:22.226Z
log-022f300b-e511-4bf3-9ddf-c9f89190ccb2,u-admin,TPHL Management,Admin,Update Unit Registration,Updated Unit '1B' registration to: Yes (2026-06-16).,2026-06-16T09:54:17.671Z
log-7758aa3e-adbf-4cfa-ba87-3978bee53782,u-admin,TPHL Management,Admin,Sales Entry,Added sales entry for unit '1B' in project 'Residential (1550-  3200)' sold by Shafia Afrin Shahana.,2026-06-16T09:54:04.892Z
log-bb0f20ef-0c75-4a6c-8b63-62fe850f106b,u-admin,TPHL Management,Admin,Edit Project On Sale,Updated pre-sale project details for 'The Premium Canvas of Happiness'.,2026-06-16T09:53:34.461Z
log-b18ba089-b57b-489f-9f41-4e3711d25f16,u-admin,TPHL Management,Admin,Edit Project On Sale,Updated pre-sale project details for 'The Premium Canvas of Happiness'.,2026-06-16T09:52:25.325Z
log-17e1a407-2f5b-45ee-89ef-6eb28bcd90a3,u-admin,TPHL Management,Admin,Delete Sale,Deleted sale entry ID 'sale-d04fd883'.,2026-06-10T09:55:15.507Z
log-f95aff17-b259-44cb-8e00-3006e1410b37,u-admin,TPHL Management,Admin,Delete Sale,Deleted sale entry ID 'sale-c83b95c7'.,2026-06-10T09:55:12.049Z
log-af38ea6a-4978-406e-9199-1d48789716ee,u-admin,TPHL Management,Admin,Update Unit Registration,Updated Unit '15A' registration to: No (No Date).,2026-06-10T09:54:59.342Z
log-f7ea34ec-fba6-498c-8d7d-c137d7df4254,u-admin,TPHL Management,Admin,Update Unit Registration,Updated Unit '15A' registration to: No (No Date).,2026-06-10T09:54:54.766Z
log-a5fd0cf3-9e2a-4e4e-ae5d-62819d707e9b,u-admin,TPHL Management,Admin,Update Unit Registration,Updated Unit '17A' registration to: No (No Date).,2026-06-10T09:54:51.290Z
log-f16d0c38-370f-466b-a6ee-7cd0c87ee922,u-admin,TPHL Management,Admin,Update Unit Registration,Updated Unit '17A' registration to: Yes (2026-06-10).,2026-06-10T09:34:34.481Z
log-dc1c2ad7-d0c9-4b04-b74a-4138c6dd28d7,u-admin,TPHL Management,Admin,Update Unit Registration,Updated Unit '15A' registration to: Yes (2026-06-10).,2026-06-10T09:34:30.961Z
log-3d566232-8bb4-4682-a71a-dce5add75532,u-admin,TPHL Management,Admin,Update Unit Registration,Updated Unit '1A' registration to: No (No Date).,2026-06-10T09:32:55.180Z
log-76cdaf63-fbd3-4a04-9947-c7d41908b252,u-admin,TPHL Management,Admin,Sales Entry,Added sales entry for unit '17A' in project 'Residential (1550-  3200)' sold by Shafia Afrin Shahana.,2026-06-10T09:18:13.126Z
log-12814dd4-7425-43b5-9555-6aa4d3ec728d,u-admin,TPHL Management,Admin,Update Unit Registration,Updated Unit '15A' registration to: Yes (2026-06-10).,2026-06-10T09:15:49.830Z
log-e36f796f-7a68-459d-8af4-6e5e27afdd3e,u-admin,TPHL Management,Admin,Sales Entry,Added sales entry for unit '15A' in project 'Residential (1550-  3200)' sold by Shafia Afrin Shahana.,2026-06-10T09:15:04.586Z
log-a861aae7-35d4-4b5a-af2e-4cb6322fc502,u-admin,TPHL Management,Admin,Add Executive Bulk,Registered 48 Sales Executives via CSV importation.,2026-06-10T09:13:59.954Z
log-246f16ba-d6a2-4852-987e-0139774b0840,u-admin,TPHL Management,Admin,Update Unit Registration,Updated Unit '1A' registration to: No (No Date).,2026-06-10T09:13:18.575Z
